cluster_number	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Cluster 0	-0.8487917707842497	-0.8198737528266913	-0.7344692195436948	-0.6934438009168638	-0.6189834766158714	-0.5262679574394651	-0.25853224684569964	0.213151572290685	0.9994737846781983	1.5510697274202174	1.7366671405834364
Cluster 1	0.974718255777172	-0.7399029717137731	1.3776977581252363	1.2829501142336766	0.07379693201852672	-0.12127553740844692	-0.1584997946456438	-0.3161610176659755	-0.48639536391418137	-0.808311675890534	-1.0786166989160562
Cluster 2	2.646819356991246	-0.6613700139935678	0.21020830316836592	-0.02717580303908735	-0.14306082228053205	-0.03349377206643425	-0.16545770554568623	-0.22505686138773254	-0.3729521641325335	-0.5443259479452557	-0.6841345697687795
Cluster 3	-0.7903620325268502	-0.1649211477976426	-0.8743337602208665	0.288798480863555	1.40414307708833	1.459472855715188	0.21945813937647918	0.10807683148737748	-0.14197852279301612	-0.6092054529524382	-0.8991484682401165
Cluster 4	1.077743378324565	-0.2684294369370482	-0.5461282331725966	-0.1191067708096834	-0.40838502507788904	1.7068036379179776	0.24160285153467848	-0.12058430170736587	-0.2294083069116931	-0.5312063267829412	-0.8029014663780027
Cluster 5	-1.9954851850620678	-1.4455485096896867	0.26282995003163095	0.2837050661302093	0.30801751579706277	0.4034224589957865	0.33320685323153937	0.5853818168731373	0.5849428064966226	0.3985356944336875	0.28099153276207667
Cluster 6	-0.8284519661695853	0.829023836868462	1.4534940866964299	1.2583070825372267	0.3338416245087594	0.0005703714683926268	-0.07829460537199619	-0.28169616505898165	-0.5689502356237831	-0.9210159636981676	-1.1968280661567603
Cluster 7	-1.3242999528332418	-0.8960097337239334	1.1000699927066293	1.6655454123381952	-0.27384016707935627	0.08560468415765633	0.07932175003239873	0.11327598116778272	0.05057491027689376	-0.22621041088048802	-0.37403246616253716
Cluster 8	-1.414159648871826	-0.7150402942990483	2.0423825810343574	-0.10601109275087416	0.5055085428006032	-0.1783221046728084	0.21585872219369084	0.1391577405007426	0.02980376771939411	-0.1765365833521225	-0.3426416303021076
Cluster 9	0.8705753293653423	-1.8440323255145648	-0.4338406323634012	1.007206530255817	-0.35830882960964966	-0.16347853226200798	0.16613759304731152	0.16108722612809162	0.43061928749120587	0.15027906342920927	0.013755290032642795
Cluster 10	-0.992010228670389	-1.0580635100627647	1.0592201208501488	-0.6141353762538859	-0.026885048735496454	1.5448332136552938	0.14631679190421976	0.3505655987913957	0.1494332744029035	-0.16083917724220806	-0.39843565863921426
Cluster 11	-0.8895435628853033	-0.8397193430087045	-0.24581632177747387	-0.2251839231412736	-0.37916436712085205	-0.173494708482011	2.0317731456182684	0.4902130394482921	0.2386049431539891	0.07834639593423949	-0.08601529773917002
Cluster 12	1.3421457101203733	-1.1896454403515926	-0.5387161851176854	0.0467049084834464	1.514977374156507	0.09878381325824512	0.025872769915995998	-0.10916566304741007	-0.13744776009207252	-0.4428159447299401	-0.6106935825958643
Cluster 13	1.1362286527903152	2.169744376402322	-0.018603196736933225	0.018532650431096073	-0.13482989381149557	-0.24060482845595885	-0.2630955224076949	-0.4237102198495596	-0.5617499199637883	-0.7435443449082003	-0.9383677534901028
Cluster 14	-1.2068501188544236	2.0219570303419854	-0.9059736603801622	-0.5126199085225537	0.17189740290328945	0.10010083845617697	0.05653964287252833	0.11214999107868377	0.17281579647692588	0.045621846835696325	-0.05563886120814729
Cluster 15	-0.13521330179349683	-0.22592078561318002	-0.4483547739968146	2.2646655508129263	0.3257676337922245	0.19711113869973762	-0.04330317882080757	-0.12041522785774009	-0.3446447146083036	-0.603765313049743	-0.8659270275648027
Cluster 16	-1.841173099811429	0.5044476101896112	-1.2556588323845197	-0.09828195967581795	0.07810504619608923	0.3270702004028171	0.877811340019291	0.7151130962564028	0.440215337236898	0.20944952143493434	0.042901740135725216
Cluster 17	2.272320103392868	0.877874914552183	0.4759011783533906	0.09638405392998035	-0.13029002363199987	-0.21711343500600327	-0.3701081165472723	-0.4914015013151747	-0.6178473913234478	-0.8599572420682432	-1.03576254033628
Cluster 18	-1.1550646649413008	-0.956523655756203	-0.9429231829336684	-0.6394545860253608	-0.4802207451415738	-0.15648689110992567	0.5575633444957326	0.7229882001724238	1.5770556820182273	0.9123927339613005	0.560673765260345
Cluster 19	-1.22045679703147	-0.7043179565440826	-0.8453474654793027	-0.6343428529938189	-0.4507521716584579	1.5634780239569863	0.11661483092836497	0.38400865212462	0.5772549677948235	0.6290828590680864	0.5847779098342535
Cluster 20	0.8916639835331005	-1.0013425588558336	-1.500627020642081	-0.9287592676884047	0.3077610356804126	0.2435277621253947	0.5856344071291743	0.7178966420992906	0.45242177660147775	0.22316123904819474	0.008662000969276412
Cluster 21	0.8435559682364465	-1.5878731607728809	1.085976624974472	-0.9480294295218883	-0.20852862027646454	-0.3311619576119384	0.18370496972321637	0.32810553930667186	0.33450054276891417	0.26704939297211794	0.03270013020133382
Cluster 22	0.7644360373961242	1.4834086873405234	-0.91539263827549	-0.5670763409867519	-1.0098508222874425	-0.46465516991782096	0.030162223696107028	0.27435015646467364	0.24942747716893776	0.14036504640190287	0.014825342999233979
Cluster 23	1.014946941877291	0.8020553773317548	0.3754944930541306	0.8535842132310224	0.7303458980218689	0.3392100572050306	-0.07903757058480639	-0.36075634113996413	-0.7526601408022213	-1.2765005731797257	-1.6466823550143812
Cluster 24	1.8388336556579805	-0.001100163543342858	-0.8566056185386612	1.2765415960686024	-0.12983088725356418	-0.1664492141593338	-0.06950612051413889	-0.09543312266150461	-0.3362874287914931	-0.619094220281995	-0.8410684759825509
Cluster 25	-1.2682284134387738	-1.1578780018752566	0.9509957689469237	-0.6834421975151196	-0.481139886778512	-0.26591120443226834	0.025899069927457295	0.2827379109283419	0.6600465602846467	0.8965714956749413	1.0403488982776208
Cluster 26	2.490982291270844	0.6030872148289116	-0.601441772545561	-0.683680652630567	-0.22982949040062606	-0.22931260627285716	-0.20200187170417788	-0.17141617188818006	-0.19069380152047175	-0.33085298817639663	-0.4548401509609198
Cluster 27	-1.3413669533462693	-1.0642867364045219	-0.9154284068979637	-0.6671112287374171	-0.3623068727556246	-0.017275712274956178	0.36099413085655724	0.568381494458768	0.7242108407910293	1.2026181215543414	1.5115713227560599
Cluster 28	-0.7585595588690335	2.4056118451468866	0.6129990601884803	-0.11694257258432157	-0.09145572646212922	-0.11867268331056903	-0.14486258732576524	-0.2441915600542324	-0.31487594976481703	-0.5183404829424919	-0.7107097840220028
Cluster 29	-0.8449189137188806	-1.161331305370427	0.7814193012151871	0.7442963286522793	1.5030295729775451	0.359762967337612	0.35817950827901174	0.05632025642955288	-0.27714938640945175	-0.6311512369626661	-0.8884570924297617
Cluster 30	-0.9248835064641064	1.7594733525029744	-0.4868479767479236	1.3460923474145539	-0.10346307148149078	0.15388007898439024	-0.06572768419614315	-0.09848583851586606	-0.2992820776232633	-0.5723917025952957	-0.7083639212778301
Cluster 31	-1.3823070921546154	-0.7971776601566878	-0.7924594361287434	1.1054596168345558	-0.5445154475067072	-0.24822034776457017	-0.028161268563818745	0.1546369511707713	0.7517506227949996	0.8443700489180236	0.9366240125567927
Cluster 32	-1.0444456713052952	-1.2667335710591303	-1.158296360748129	1.3732214223736356	0.1773983285529788	0.6722099271255032	0.4766861043005912	0.48496262604914997	0.3240675442077365	0.11110927874564377	-0.15017962824268233
Cluster 33	-1.3355652976659071	-0.2687322447414579	-0.25909723083139347	-0.8150000314733741	1.8841208587495	-0.07350265263517979	0.11454061585919574	0.40349444914846433	0.24466747021054147	0.10434480261303256	0.0007292607665776163
Cluster 34	-1.3187708510992202	0.7032458040003893	-0.994170241790191	-0.8218873039174903	-0.4140619987943214	-0.28142371563940133	-0.062462363344962094	0.21025809456807398	0.713208377742647	1.0587257877427314	1.2073384105317493
Cluster 35	-0.6475348893275952	-0.6171391675476737	-0.5860880943598562	-0.5590318914956718	-0.4916623269752351	-0.470426426827263	-0.36711166574421816	-0.17473133584284986	0.28828897052794134	1.1736246496066336	2.4518121779857838
Cluster 36	-0.21945461985877857	0.4565547367953957	2.3534040726246492	-0.35577847974873306	-0.31285532553028933	-0.06672350061081832	-0.15346521866099927	-0.16349478016887717	-0.27251550890722587	-0.5441693440533317	-0.7215020318809897
Cluster 37	2.336497239471302	-0.9975315532418041	-0.7948437430043767	-0.43649868013037396	-0.4174902643357253	-0.2632961362879312	-0.08344844654466309	0.15049458284142805	0.21188990273746863	0.1384529392875235	0.15577415920714555
Cluster 38	-1.8179128474100301	0.257999348230851	-0.37055831762964214	1.3094364341949223	1.18572167269997	-0.18997722511198298	0.18450163635755207	0.08409075596481456	0.021170131408828563	-0.2108364527197434	-0.4536351359855406
Cluster 39	-1.912316549981089	0.6915636386613291	0.7591398379036676	0.16767784105321693	0.14687876296185437	1.015121544185043	0.5259283364883772	0.03776961362079635	-0.15209403603421143	-0.5532972282306204	-0.7263717606283621
Cluster 40	1.0474566113830148	-0.6036658866535101	-0.7886722928254006	-0.9114822009586776	-0.6226550988375198	-0.574298969459572	-0.4278357209074874	0.0023344288347221798	0.48047797751525356	1.081509875598146	1.3168312763110328
Cluster 41	-1.070406095679836	-0.8910687831319875	-0.6728205758063692	-0.5344722953360193	-0.23570643672009753	-0.24317277440248222	0.19682185952165615	1.8716960030807754	0.6970417482586851	0.543202524369996	0.3388848258456802
Cluster 42	1.5092125450614993	-0.41250651466447397	1.514583888435763	-0.48181750238956195	0.4755583514636518	0.14435708586701493	-0.1671984004356757	-0.2366332093823941	-0.5062307875938078	-0.8193357748270383	-1.0199896815349754
Cluster 43	0.852641522587939	1.3308362187972926	1.4464814553895688	0.4532369108766455	-0.09530291955929748	-0.16837850323868037	-0.3085196155822342	-0.45931298788673103	-0.7120958536081556	-1.0341239662333632	-1.3054622615429863
Cluster 44	-0.5183713099500635	1.1890353264278914	0.7081562702336113	-0.32269643081800525	1.5743175633891198	0.07212288213601954	-0.08894614761307627	-0.17053149738165538	-0.49586183682693774	-0.8576884889412253	-1.0895363306556802
Cluster 45	0.9856627366691043	1.1944769288941146	-1.2090332924316805	-0.2615729359437897	1.1526452031503367	0.012554802739595573	-0.023435329236409938	-0.06326891696942968	-0.32997429890121244	-0.6377403243187345	-0.8203145736518942
Cluster 46	-1.2386891072916473	-1.2225543485941108	-0.9727118688887324	-0.30385724982401446	1.024191944036278	-0.17251241847212975	0.02918531263965638	0.3203367789776932	0.7158986276706456	0.8610750049071165	0.959637324839245
